fighter_id,fighter_f_name,fighter_l_name,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq
985,Ricco,Rodriguez,193.04,265.0,193.04,1977-08-19,53,25,0,1.0
984,Manuel,Rodriguez,175.26,170.0,175.26,1985-04-25,11,5,0,0
983,Yair,Rodriguez,180.34,145.0,180.34,1992-10-06,16,4,0,1.0
982,Mike,Rodriguez,193.04,205.0,208.28,1988-11-28,11,7,0,1.0
981,Marina,Rodriguez,167.64,115.0,165.1,1987-04-29,17,3,2,0
980,Daniel,Rodriguez,185.42,170.0,187.96,1986-12-31,17,4,0,0
979,Ray,Rodriguez,170.18,135.0,177.8,1987-12-10,16,8,0,0
978,Luis,Rodriguez,167.64,125.0,165.1,1999-05-07,11,2,0,0
977,Drako,Rodriguez,172.72,135.0,175.26,1996-06-16,7,3,0,0
976,Victor,Rodriguez,165.1,125.0,170.18,1992-09-05,7,4,0,0
975,Piera,Rodriguez,160.02,115.0,160.02,1992-11-11,9,1,0,0
974,Christian,Rodriguez,170.18,135.0,180.34,1997-12-17,9,1,0,0
973,Pete,Rodriguez,175.26,155.0,180.34,1996-11-13,5,1,0,0
972,Nick,Roehrick,187.96,205.0,187.96,1987-07-06,7,1,0,0
971,Marcos,Rogerio de Lima,185.42,253.0,190.5,1985-06-25,21,10,1,0
970,Brett,Rogers,195.58,265.0,205.74,1981-02-17,17,10,0,1.0
969,Brian,Rogers,180.34,185.0,180.34,1984-02-15,14,9,0,0
967,Max,Rohskopf,185.42,155.0,180.34,1994-09-27,5,1,0,0
966,Marcelo,Rojo,172.72,145.0,180.34,1988-07-02,16,10,0,0
965,Shane,Roller,177.8,155.0,182.88,1979-07-14,11,7,0,0
964,Jared,Rollins,175.26,170.0,175.26,1977-01-26,8,4,0,0
963,Tim,Roman,185.42,170.0,185.42,1985-06-08,3,4,0,0
962,Alexandr,Romanov,187.96,262.0,190.5,1990-12-11,17,2,0,0
961,Ricardo,Romero,182.88,205.0,193.04,1978-04-15,11,3,0,0
960,Yoel,Romero,182.88,185.0,185.42,1977-04-30,13,5,0,0
959,Anthony,Romero,180.34,155.0,177.8,1997-02-25,8,0,0,0
958,Kaleio,Romero,177.8,145.0,175.26,1996-04-19,6,2,0,0
957,Mara,Romero Borella,167.64,125.0,175.26,1986-06-03,12,9,0,2.0
955,Juancamilo,Ronderos,160.02,125.0,162.56,1995-02-17,4,2,0,0
953,Jesse,Ronson,177.8,155.0,177.8,1985-12-24,21,12,0,1.0
952,George,Roop,185.42,135.0,182.88,1981-11-10,15,13,1,0
951,Joao,Roque,167.64,155.0,167.64,1971-07-22,7,2,4,0
950,Aaron,Rosa,193.04,205.0,195.58,1983-05-28,18,6,0,0
949,Charles,Rosa,175.26,145.0,175.26,1986-08-24,14,8,0,0
948,Karol,Rosa,165.1,145.0,170.18,1994-12-30,17,5,0,0
947,Jacob,Rosales,180.34,155.0,187.96,1995-07-28,13,7,0,0
946,Raul,Rosas Jr.,175.26,135.0,170.18,2004-10-08,8,1,0,0
945,Hilarie,Rose,160.02,115.0,160.02,1992-11-11,4,2,0,0
944,Jake,Rosholt,185.42,185.0,185.42,1982-02-09,12,5,0,1.0
943,Jared,Rosholt,187.96,265.0,190.5,1986-08-04,14,4,0,0
940,Shannon,Ross,167.64,125.0,167.64,1989-05-12,13,8,0,0
939,Nick,Rossborough,195.58,205.0,195.58,1981-11-18,26,19,1,0
938,Kristian,Rothaermel,182.88,205.0,182.88,1972-01-31,4,3,0,0
937,Ben,Rothwell,193.04,265.0,198.12,1981-10-17,39,14,0,0
935,Khalil,Rountree Jr.,185.42,205.0,193.04,1990-02-26,13,5,0,1.0
934,Ronda,Rousey,170.18,135.0,167.64,1987-02-01,12,2,0,0
931,Phil,Rowe,190.5,170.0,203.2,1990-07-18,10,4,0,0
927,Brandon,Royval,175.26,125.0,172.72,1992-08-16,15,6,0,0
926,Jairzinho,Rozenstruik,187.96,242.0,198.12,1988-03-17,13,5,0,0
925,Mauricio,Rua,185.42,205.0,193.04,1981-11-25,27,14,1,0
924,Murilo,Rua,180.34,185.0,180.34,1980-05-22,20,13,1,0
923,Marco,Ruas,185.42,210.0,185.42,1961-01-23,9,4,2,0
922,Rodrigo,Ruas,177.8,185.0,177.8,1977-10-06,4,5,1,1.0
921,Rodolfo,Rubio Perez,165.1,145.0,165.1,1987-01-29,10,16,1,0
920,Gabe,Ruediger,177.8,155.0,177.8,1977-08-29,18,8,0,0
919,Mauricio,Ruffy,180.34,170.0,190.5,1996-06-17,8,1,0,0
918,Eddie,Ruiz,170.18,155.0,170.18,1967-06-10,1,1,0,0
917,Anthony,Ruiz,187.96,205.0,187.96,1977-11-03,33,22,0,0
916,Paul,Ruiz,167.64,135.0,167.64,1987-06-23,7,4,0,0
915,Montserrat,Conejo Ruiz,152.4,115.0,154.94,1993-02-03,10,3,0,0
914,Mike,Russow,185.42,255.0,185.42,1976-09-11,15,3,0,1.0
913,Bas,Rutten,185.42,205.0,185.42,1965-02-24,28,4,1,0
912,Nursulton,Ruziboev,195.58,185.0,193.04,1993-11-19,35,8,2,0
910,Yusup,Saadulaev,167.64,135.0,167.64,1985-03-31,16,4,1,1.0
909,Cameron,Saaiman,172.72,135.0,170.18,2000-12-20,9,0,0,0
907,Danny,Sabatello,177.8,135.0,180.34,1993-03-31,9,1,0,0
906,Pat,Sabatini,172.72,145.0,177.8,1990-11-09,18,4,0,0
905,Amir,Sadollah,177.8,170.0,190.5,1980-08-27,6,5,0,0
904,Nazim,Sadykhov,177.8,155.0,175.26,1994-05-16,9,1,0,0
903,Frankie,Saenz,167.64,135.0,167.64,1980-08-12,13,7,0,0
902,Saparbeg,Safarov,185.42,185.0,198.12,1986-10-14,9,3,0,0
901,Tarec,Saffiedine,177.8,170.0,177.8,1986-09-06,16,7,0,0
900,Jason,Saggo,180.34,155.0,180.34,1985-11-23,12,4,0,0
899,Benoit,Saint Denis,180.34,155.0,185.42,1995-12-18,12,1,0,1.0
898,Ovince,Saint Preux,190.5,205.0,203.2,1983-04-08,26,17,0,0
897,Lukasz,Sajewski,172.72,155.0,180.34,1990-11-27,13,3,0,0
896,Yukio,Sakaguchi,175.26,185.0,175.26,1973-07-26,6,7,0,0
895,Augusto,Sakai,190.5,265.0,195.58,1991-05-09,16,5,1,0
894,Alessio,Sakara,182.88,185.0,182.88,1981-09-02,19,11,0,2.0
893,Wataru,Sakata,175.26,195.0,175.26,1973-03-11,11,14,0,0
892,Gokhan,Saki,182.88,205.0,185.42,1983-10-19,1,2,0,0
891,Kazushi,Sakuraba,182.88,185.0,182.88,1969-07-14,26,17,1,2.0
890,Hayato,Sakurai,170.18,168.0,170.18,1975-08-24,38,13,2,0
888,Justin,Salas,172.72,155.0,177.8,1982-03-13,12,7,0,0
887,Ivan,Salaverry,182.88,185.0,182.88,1971-01-11,14,9,0,0
886,Roman,Salazar,170.18,135.0,170.18,1988-02-21,10,6,0,1.0
885,Luis,Saldana,180.34,145.0,185.42,1991-01-27,16,7,1,0
883,Muslim,Salikhov,180.34,170.0,177.8,1984-06-09,19,4,0,0
882,Gabriel,Salinas-Jones,185.42,245.0,185.42,1984-11-20,5,2,1,0
881,Brandon,Saling,177.8,170.0,177.8,1986-01-28,8,6,0,0
880,Quillan,Salkilld,182.88,155.0,193.04,1999-12-28,4,1,0,0
879,Sean,Salmon,177.8,185.0,177.8,1977-09-11,18,21,0,0
878,Boston,Salmon,175.26,135.0,175.26,1990-11-20,6,3,0,0
877,John,Salter,185.42,185.0,187.96,1985-03-21,14,3,0,0
876,Vinicius,Salvador,170.18,125.0,177.8,1996-07-24,14,6,0,0
875,Dylan,Salvador,175.26,155.0,175.26,1993-05-20,5,2,0,0
874,Josh,Samman,190.5,185.0,200.66,1988-03-14,13,4,0,0
873,Johnny,Sampaio,172.72,170.0,172.72,1975-09-11,3,1,0,0
872,Josh,Sampo,162.56,125.0,162.56,1984-07-24,11,5,0,0
870,Diego,Sanchez,177.8,170.0,182.88,1981-12-31,31,13,0,0
869,Eddie,Sanchez,187.96,230.0,187.96,1982-11-04,15,8,0,0
866,Donald,Sanchez,177.8,145.0,177.8,1984-08-18,31,17,0,0
865,Joby,Sanchez,167.64,135.0,172.72,1991-06-24,11,4,0,0
864,Emmanuel,Sanchez,175.26,145.0,180.34,1990-08-11,15,3,0,0
863,Erick,Sanchez,177.8,145.0,177.8,1990-10-04,8,3,0,0
862,Andrew,Sanchez,185.42,185.0,187.96,1988-04-08,13,7,0,0
861,Robert,Sanchez,167.64,125.0,167.64,1986-03-05,8,2,0,0
859,Luke,Sanders,167.64,135.0,170.18,1985-12-12,13,5,0,0
858,Jerrod,Sanders,172.72,135.0,182.88,1979-10-01,16,3,0,1.0
857,Cory,Sandhagen,180.34,135.0,177.8,1992-04-20,17,4,0,0
854,Joseph,Sandoval,170.18,135.0,170.18,1986-05-11,7,7,0,0
853,Hector,Sandoval,157.48000000000002,125.0,162.56,1986-07-19,14,4,0,0
852,Chris,Sanford,180.34,185.0,180.34,1968-03-12,5,1,0,0
851,Roldan,Sangcha'an,162.56,125.0,162.56,1990-12-04,4,2,0,0
850,Yuhi,Sano,180.34,243.0,180.34,1965-02-02,0,4,0,0
849,Martin,Sano,180.34,170.0,190.5,1991-05-30,4,3,1,0
847,Duda,Santana,170.18,145.0,185.42,1996-01-10,3,1,0,0
846,Shaheen,Santana,185.42,155.0,190.5,1991-06-04,6,1,0,0
845,Sean,Santella,165.1,125.0,165.1,1984-10-25,17,6,1,1.0
844,Jorge,Santiago,185.42,170.0,190.5,1980-10-09,25,12,0,0
843,Mike,Santiago,177.8,145.0,175.26,1989-07-28,19,12,0,0
842,Will,Santiago,170.18,185.0,170.18,1983-02-08,9,5,0,0
841,Richie,Santiago,170.18,135.0,170.18,1992-10-10,7,2,0,0
839,Art,Santore,187.96,185.0,187.96,1972-10-26,18,8,0,0
836,Evangelista,Santos,177.8,170.0,193.04,1977-12-12,21,18,0,0
834,Iliarde,Santos,165.1,125.0,170.18,1980-09-25,30,13,1,1.0
833,Leonardo,Santos,182.88,155.0,190.5,1980-02-05,18,7,1,0
832,Thiago,Santos,187.96,205.0,193.04,1984-01-07,22,11,0,0
831,Bruno,Santos,175.26,185.0,175.26,1987-07-17,15,2,0,0
829,Gleristone,Santos,175.26,145.0,175.26,1988-08-20,33,7,0,0
828,Yana,Santos,167.64,135.0,172.72,1989-11-11,14,8,0,1.0
827,Taila,Santos,167.64,125.0,172.72,1993-06-22,19,3,0,0
826,Marilia,Santos,162.56,125.0,162.56,1992-12-12,10,3,0,0
825,Edivan,Santos,193.04,248.0,198.12,1992-05-03,12,3,1,1.0
824,Daniel,Santos,170.18,135.0,170.18,1995-03-12,12,2,0,0
